Construct,H,p,Sig,eta_squared
Perceived Usefulness (PU),6.993,0.0721,ns,0.148
Perceived Ease of Use (PEOU),7.665,0.0535,ns,0.173
Behavioral Intention (BI),4.297,0.2311,ns,0.048
Εμπιστοσύνη στην AI,2.688,0.4424,ns,0.000
Ποιότητα Εξόδου,1.392,0.7075,ns,0.000
Αυτοπεποίθηση Λήψης Αποφάσεων,5.564,0.1349,ns,0.095
Εξοικονόμηση Χρόνου,9.854,0.0199,*,0.254
Βελτίωση Ποιότητας Εργασίας,5.341,0.1485,ns,0.087
Πραγματική Χρήση AI,3.727,0.2924,ns,0.027
Ανάγκη Ανθρώπινης Επίβλεψης,6.233,0.1008,ns,0.120
