,Perceived Usefulness (PU),Perceived Ease of Use (PEOU),Behavioral Intention (BI),Εμπιστοσύνη στην AI,Ποιότητα Εξόδου,Αυτοπεποίθηση Λήψης Αποφάσεων,Εξοικονόμηση Χρόνου,Βελτίωση Ποιότητας Εργασίας,Πραγματική Χρήση AI,Ανάγκη Ανθρώπινης Επίβλεψης
Perceived Usefulness (PU),0.9999999999999998,0.276344967444734,0.5468833385738024,0.2619577763823637,0.19746351703388654,0.4191885805225989,0.6467929585504416,0.6756158569474358,0.4854273561945094,-0.010372699487435886
Perceived Ease of Use (PEOU),0.27634496744473397,1.0,0.2197856968237691,-0.024919325246357198,-0.06472205944748625,0.13438797446472842,0.3033779369448743,0.06017997091467893,0.29982712781912235,-0.4531806935769563
Behavioral Intention (BI),0.5468833385738024,0.2197856968237691,1.0,0.07990951409844252,0.24663314819858198,0.4757857560054391,0.6878166348582471,0.39368866553692483,0.39393011826034524,-0.05627279274145341
Εμπιστοσύνη στην AI,0.26195777638236367,-0.024919325246357198,0.0799095140984425,0.9999999999999998,0.4990842174223702,0.1844705145885474,-0.0008578693314380899,0.10297022678098039,-0.05795416709791419,0.17707020255182332
Ποιότητα Εξόδου,0.1974635170338865,-0.06472205944748624,0.24663314819858198,0.49908421742237014,1.0,0.39372863816827197,0.2552014825543993,0.13145119432937336,0.10604738621473296,-0.0035080269093716535
Αυτοπεποίθηση Λήψης Αποφάσεων,0.4191885805225989,0.13438797446472842,0.47578575600543904,0.1844705145885474,0.393728638168272,0.9999999999999998,0.6617806305519917,0.46398513483793835,0.587588642514967,-0.15420140923870057
Εξοικονόμηση Χρόνου,0.6467929585504416,0.3033779369448743,0.6878166348582471,-0.0008578693314380899,0.2552014825543993,0.6617806305519917,0.9999999999999998,0.6888819162313488,0.7059826044145421,-0.027665599470411677
Βελτίωση Ποιότητας Εργασίας,0.6756158569474356,0.060179970914678936,0.39368866553692483,0.10297022678098039,0.13145119432937336,0.46398513483793824,0.6888819162313488,0.9999999999999998,0.6187018701870186,0.20381447757254478
Πραγματική Χρήση AI,0.4854273561945094,0.29982712781912235,0.3939301182603452,-0.0579541670979142,0.10604738621473296,0.587588642514967,0.7059826044145421,0.6187018701870186,0.9999999999999998,-0.10396269264714199
Ανάγκη Ανθρώπινης Επίβλεψης,-0.010372699487435888,-0.4531806935769563,-0.05627279274145341,0.1770702025518233,-0.003508026909371654,-0.1542014092387006,-0.027665599470411677,0.20381447757254478,-0.103962692647142,0.9999999999999998
